Location,Crit Obliq,Debris Thick (m),Accum. Rate (mm/yr),Heat Flux (mW/m2),Filename,Within FSD,Ice left
Pavonis,43 +/- 2,2,5,30,PB_HF30_Acc05_Debris2_0Abl_10km_Obliq43,Y,Y
Pavonis,43 +/- 2,2,10,30,PB_HF30_Acc10_Debris2_0Abl_10km_Obliq43,N,Y
Pavonis,43 +/- 2,1.5,10,30,PB_HF30_Acc10_Debris1_5Abl_10km_Obliq43,Y,Y
Pavonis,43 +/- 2,2,5,30,PB_HF30_Acc05_Debris2_0Abl_5km_Obliq43,Y,Y
Pavonis,43 +/- 2,1.5,10,30,PB_HF30_Acc10_Debris1_5Abl_5km_Obliq43,Y,Y
Pavonis,43 +/- 2,1,10,30,PB_HF30_Acc10_Debris1_0Abl_5km_Obliq43,Y,Y
Pavonis,43 +/- 2,0.75,15,30,PB_HF30_Acc15_Debris0_75Abl_5km_Obliq43,Y,N
Pavonis,43 +/- 2,1.5,15,30,PB_HF30_Acc15_Debris1_5Abl_5km_Obliq43,N,Y
Pavonis,43 +/- 2,1,15,30,PB_HF30_Acc15_Debris1_0Abl_5km_Obliq43,Y,Y
Pavonis,43 +/- 2,0.75,20,30,PB_HF30_Acc20_Debris0_75Abl_5km_Obliq43,Y,Y
Pavonis,43 +/- 2,0.5,25,30,PB_HF30_Acc25_Debris0_5Abl_5km_Obliq43,Y,N
Pavonis,45 +/- 2,1,25,30,PB_HF30_Acc25_Debris1_0Abl_5km_Obliq45,Y,N
Pavonis,45 +/- 2,0.75,30,30,PB_HF30_Acc30_Debris0_75Abl_5km_Obliq45,Y,N
Pavonis,45 +/- 2,0.5,35,30,PB_HF30_Acc35_Debris0_5Abl_5km_Obliq45,Y,N
Pavonis,45 +/- 2,1,35,30,PB_HF30_Acc35_Debris1_0Abl_5km_Obliq45,Y,Y
Pavonis,45 +/- 2,0.75,35,30,PB_HF30_Acc35_Debris0_75Abl_5km_Obliq45,Y,N
Pavonis,45 +/- 2,1,40,30,PB_HF30_Acc40_Debris1_0Abl_5km_Obliq45,Y,Y
Pavonis,45 +/- 2,0.75,45,30,PB_HF30_Acc45_Debris0_75Abl_5km_Obliq45,Y,N
Pavonis,45 +/- 2,0.5,50,30,PB_HF30_Acc50_Debris0_5Abl_5km_Obliq45,Y,N
Pavonis,45 +/- 2,1,50,30,PB_HF30_Acc50_Debris1_0Abl_5km_Obliq45,Y,Y
Pavonis,45 +/- 2,0.75,60,30,PB_HF30_Acc60_Debris0_75Abl_5km_Obliq45,Y,N
Pavonis,45 +/- 2,0.5,70,30,PB_HF30_Acc70_Debris0_5Abl_5km_Obliq45,Y,N
Pavonis,45 +/- 2,1,65,30,PB_HF30_Acc65_Debris1_0Abl_5km_Obliq45,N,Y
Pavonis,45 +/- 2,0.75,75,30,PB_HF30_Acc75_Debris0_75Abl_5km_Obliq45,N,Y
Pavonis,45 +/- 2,0.5,85,30,PB_HF30_Acc85_Debris0_5Abl_5km_Obliq45,Y,N
Pavonis,45 +/- 2,0.5,95,30,PB_HF30_Acc95_Debris0_5Abl_5km_Obliq45,Y,N
Pavonis,45 +/- 2,1.5,45,30,PB_HF30_Acc45_Debris1_5Abl_5km_Obliq45,Y,Y
Pavonis,43 +/- 2,1.5,7,30,PB_HF30_Acc07_Debris1_5Abl_5km_Obliq43,Y,Y
Pavonis,45 +/- 2,1.5,55,30,PB_HF30_Acc55_Debris1_5Abl_5km_Obliq45,N,Y
Pavonis,45 +/- 2,2,45,30,PB_HF30_Acc45_Debris2_0Abl_5km_Obliq45,N,Y
Pavonis,43 +/- 2,0.75,40,30,PB_HF30_Acc40_Debris0_75Abl_5km_Obliq43,N,Y
Pavonis,43 +/- 2,0.75,25,30,PB_HF30_Acc25_Debris0_75Abl_5km_Obliq43,N,Y
